trajets;classe1;classe2;classe3;payage moyen;distance;cout investissement;net annuel par tarrification
HAD SOUALEM-OUALIDIA;57;90;111;86;54;1613;430
HAD SOUALEM-SAFI NORD;67;106;130;101;63;1894;505
HAD SOUALEM-SAFI;72;114;140;109;68;2038;543
BIR JDID-TNIN CHTOUKA;6;10;13;10;6;181;48
BIR JDID-AZEMMOUR;12;19;24;18;11;344;92
BIR JDID-EL JADIDA;16;25;31;24;15;450;120
BIR JDID-EL JADIDA SUD;20;32;39;30;19;569;152
BIR JDID-JORF LASFAR;25;40;49;38;24;713;190
BIR JDID-SIDI SMAIL;35;55;68;53;33;988;263
BIR JDID-OUALIDIA;50;79;97;75;47;1413;377
BIR JDID-SAFI NORD;60;95;116;90;56;1694;452
BIR JDID-SAFI;65;103;126;98;61;1838;490
TNIN CHTOUKA-AZEMMOUR;6;10;13;10;6;181;48
TNIN CHTOUKA-EL JADIDA;11;18;23;17;11;325;87
TNIN CHTOUKA-EL JADIDA SUD;14;22;27;21;13;394;105
TNIN CHTOUKA-JORF LASFAR;18;28;35;27;17;506;135
TNIN CHTOUKA-SIDI SMAIL;28;44;54;42;26;788;210
TNIN CHTOUKA-OUALIDIA;43;68;83;65;40;1213;323
TNIN CHTOUKA-SAFI NORD;54;85;105;81;51;1525;407
TNIN CHTOUKA-SAFI;59;93;115;89;56;1669;445
AZEMMOUR-EL JADIDA;4;6;8;6;4;113;30
AZEMMOUR-EL JADIDA SUD;6;10;13;10;6;181;48
AZEMMOUR-JORF LASFAR;10;16;19;15;9;281;75
AZEMMOUR-SIDI SMAIL;20;32;39;30;19;569;152
AZEMMOUR-OUALIDIA;36;57;70;54;34;1019;272
AZEMMOUR-SAFI NORD;47;74;90;70;44;1319;352
AZEMMOUR-SAFI NORD;52;82;100;78;49;1463;390
EL JADIDA  -EL JADIDA SUD;5;8;10;8;5;144;38
EL JADIDA  -JORF LASFAR;9;14;17;13;8;250;67
EL JADIDA -SIDI SMAIL;19;30;37;29;18;538;143
EL JADIDA  -OUALIDIA;35;55;68;53;33;988;263
EL JADIDA  -SAFI NORD;46;72;88;69;43;1288;343
EL JADIDA  -SAFI;51;80;98;76;48;1431;382
EL JADIDA SUD -JORF LASFAR;5;8;10;8;5;144;38
EL JADIDA SUD -SIDI SMAIL;14;22;27;21;13;394;105
EL JADIDA SUD -OUALIDIA;30;47;58;45;28;844;225
EL JADIDA SUD -SAFI NORD;41;65;80;62;39;1163;310
EL JADIDA SUD -SAFI;46;73;89;69;43;1300;347
JORF LASFAR -SIDI SMAIL;10;16;19;15;9;281;75
JORF LASFAR -OUALIDIA;26;41;50;39;24;731;195
JORF LASFAR -SAFI NORD;38;60;74;57;36;1075;287
JORF LASFAR -SAFI;43;68;83;65;40;1213;323
SIDI SMAIL -EL OUALIDIA;15;24;29;23;14;425;113
SIDI SMAIL -SAFI NORD;26;41;50;39;24;731;195
SIDI SMAIL -SAFI;31;49;60;47;29;875;233
EL OUALIDIA -SAFI NORD;10;16;19;15;9;281;75
EL OUALIDIA -SAFI;15;24;29;23;14;425;113
SAFI NORD -SAFI;4;6;8;6;4;113;30
BERRECHID EST-BEN AHMED;14;21;25;20;13;375;100
BERRECHID EST-KHOURIBGA;29;43;52;41;26;775;207
BERRECHID EST-OUED ZEM OUEST;40;60;73;58;36;1081;288
BERRECHID EST-OUED ZEM EST;43;65;80;63;39;1175;313
BERRECHID EST-BOUJAD;50;77;92;73;46;1369;365
BERRECHID EST-KASBAT TADLA;55;85;103;81;51;1519;405
BERRECHID EST-BENI MELLAL;65;100;120;95;59;1781;475
BEN AHMED-KHOURIBGA;15;22;27;21;13;400;107
BEN AHMED-OUED ZEM OUEST;25;40;48;38;24;706;188
BEN AHMED-OUED ZEM EST;30;45;55;43;27;813;217
BEN AHMED-BOUJAD;37;56;67;53;33;1000;267
BEN AHMED- KASBAT TADLA;43;65;78;62;39;1163;310
BEN AHMED-BENI MELLAL;50;78;93;74;46;1381;368
KHOURIBGA-OUED ZEM OUEST;11;16;20;16;10;294;78
KHOURIBGA-OUED ZEM EST;15;22;28;22;14;406;108
KHOURIBGA-OUJAD;22;33;40;32;20;594;158
KHOURIBGA-KASBAR TADLA;27;42;50;40;25;744;198
KHOURIBGA-BENI MELLAL;36;55;66;52;33;981;262
OUED ZEM OUEST- OUED ZEM EST;3;5;6;5;3;88;23
OUED ZEM OUEST- BOUJAD;11;16;20;16;10;294;78
OUED ZEM OUEST- KASBAT TADLA;14;22;26;21;13;388;103
OUED ZEM OUEST- BENI MELLAL;25;38;46;36;23;681;182
OUED ZEM EST-BOUJAD;7;11;14;11;7;200;53
OUED ZEM EST-KASBAT TADLA;13;20;24;19;12;356;95
